2022-11-06T09:06:32.6NZ mysqld_safe Logging to '/Applications/MAMP/logs/mysql_error.log'.
2022-11-06T09:06:32.6NZ mysqld_safe Starting mysqld daemon with databases from /Applications/MAMP/db/mysql57
2022-11-06T09:06:33.797523Z 0 [Warning] TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).
2022-11-06T09:06:33.802550Z 0 [Note] --secure-file-priv is set to NULL. Operations related to importing and exporting data are disabled
2022-11-06T09:06:33.807480Z 0 [Note] /Applications/MAMP/Library/bin/mysqld (mysqld 5.7.34) starting as process 929 ...
2022-11-06T09:06:34.075754Z 0 [Warning] Setting lower_case_table_names=2 because file system for /Applications/MAMP/db/mysql57/ is case insensitive
2022-11-06T09:06:34.124322Z 0 [Note] InnoDB: Mutexes and rw_locks use GCC atomic builtins
2022-11-06T09:06:34.124515Z 0 [Note] InnoDB: Uses event mutexes
2022-11-06T09:06:34.124567Z 0 [Note] InnoDB: GCC builtin __atomic_thread_fence() is used for memory barrier
2022-11-06T09:06:34.124598Z 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2022-11-06T09:06:34.133249Z 0 [Note] InnoDB: Number of pools: 1
2022-11-06T09:06:34.146866Z 0 [Note] InnoDB: Using CPU crc32 instructions
2022-11-06T09:06:34.150178Z 0 [Note] InnoDB: Initializing buffer pool, total size = 128M, instances = 1, chunk size = 128M
2022-11-06T09:06:34.200265Z 0 [Note] InnoDB: Completed initialization of buffer pool
2022-11-06T09:06:34.266585Z 0 [Note] InnoDB: Highest supported file format is Barracuda.
2022-11-06T09:06:34.555860Z 0 [Note] InnoDB: Creating shared tablespace for temporary tables
2022-11-06T09:06:34.556078Z 0 [Note] InnoDB: Setting file './ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
2022-11-06T09:06:34.717790Z 0 [Note] InnoDB: File './ibtmp1' size is now 12 MB.
2022-11-06T09:06:34.729819Z 0 [Note] InnoDB: 96 redo rollback segment(s) found. 96 redo rollback segment(s) are active.
2022-11-06T09:06:34.729871Z 0 [Note] InnoDB: 32 non-redo rollback segment(s) are active.
2022-11-06T09:06:34.738237Z 0 [Note] InnoDB: Waiting for purge to start
2022-11-06T09:06:34.788585Z 0 [Note] InnoDB: 5.7.34 started; log sequence number 15636143
2022-11-06T09:06:34.797529Z 0 [Note] InnoDB: Loading buffer pool(s) from /Applications/MAMP/db/mysql57/ib_buffer_pool
2022-11-06T09:06:34.802782Z 0 [Note] Plugin 'FEDERATED' is disabled.
2022-11-06T09:06:34.866617Z 0 [Note] InnoDB: Buffer pool(s) load completed at 221106  9:06:34
2022-11-06T09:06:34.952498Z 0 [Warning] InnoDB: Table mysql/innodb_table_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:06:34.952642Z 0 [Warning] InnoDB: Table mysql/innodb_index_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:06:35.098380Z 0 [Note] Found ca.pem, server-cert.pem and server-key.pem in data directory. Trying to enable SSL support using them.
2022-11-06T09:06:35.098443Z 0 [Note] Skipping generation of SSL certificates as certificate files are present in data directory.
2022-11-06T09:06:35.134466Z 0 [Warning] CA certificate ca.pem is self signed.
2022-11-06T09:06:35.138094Z 0 [Note] Skipping generation of RSA key pair as key files are present in data directory.
2022-11-06T09:06:35.141978Z 0 [Note] Server hostname (bind-address): '*'; port: 8889
2022-11-06T09:06:35.144534Z 0 [Note] IPv6 is available.
2022-11-06T09:06:35.144623Z 0 [Note]   - '::' resolves to '::';
2022-11-06T09:06:35.144746Z 0 [Note] Server socket created on IP: '::'.
2022-11-06T09:06:35.146135Z 0 [Warning] Insecure configuration for --pid-file: Location '/Applications/MAMP/tmp' in the path is accessible to all OS users. Consider choosing a different directory.
2022-11-06T09:06:35.510999Z 0 [Note] Event Scheduler: Loaded 0 events
2022-11-06T09:06:35.512917Z 0 [Note] /Applications/MAMP/Library/bin/mysqld: ready for connections.
Version: '5.7.34'  socket: '/Applications/MAMP/tmp/mysql/mysql.sock'  port: 8889  MySQL Community Server (GPL)
2022-11-06T09:07:02.666903Z 11 [Warning] InnoDB: Table mysql/innodb_table_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:07:02.667022Z 11 [Warning] InnoDB: Table mysql/innodb_index_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:07:02.706897Z 11 [Warning] InnoDB: Table mysql/innodb_table_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:07:02.706954Z 11 [Warning] InnoDB: Table mysql/innodb_index_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:07:02.765840Z 11 [Warning] InnoDB: Table mysql/innodb_table_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:07:02.765895Z 11 [Warning] InnoDB: Table mysql/innodb_index_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:07:02.777524Z 11 [Warning] InnoDB: Table mysql/innodb_table_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
2022-11-06T09:07:02.777598Z 11 [Warning] InnoDB: Table mysql/innodb_index_stats has length mismatch in the column name table_name.  Please run mysql_upgrade
